PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
11 221432,0,New Building,Mixed Use/Res w Non Res,2011-06-24T00:00:00Z,NA,NA,Examiner's Notice Sent,M5V,473,11 221432_0
11 223813,0,Building Additions/Alterations,Recreational,2011-06-21T00:00:00Z,2012-04-26T00:00:00Z,2025-11-13T00:00:00Z,Closed,M4G,404,11 223813_0
11 223964,0,New Building,Apartment Building,2011-06-21T00:00:00Z,2013-11-25T00:00:00Z,NA,Inspection,M2N,723.5,11 223964_0
11 226957,0,New Building,Apartment Building,2011-06-24T00:00:00Z,2013-09-05T00:00:00Z,NA,Inspection,M8V,52,11 226957_0
11 229770,0,New Building,Elementary School,2011-06-29T00:00:00Z,2012-08-22T00:00:00Z,NA,Inspection,M8W,0,11 229770_0
11 230682,0,New Building,Industrial,2011-06-30T00:00:00Z,2016-02-03T00:00:00Z,NA,Inspection,NA,9035.130000000001,11 230682_0
11 232379,0,New Building,Mixed Use/Res w Non Res,2011-07-05T00:00:00Z,2013-02-01T00:00:00Z,2017-10-17T00:00:00Z,Closed,M5T,1344,11 232379_0
11 234039,0,New Building,Mixed Use/Res w Non Res,2011-07-07T00:00:00Z,2013-07-22T00:00:00Z,2017-11-29T00:00:00Z,Closed,M5V,475,11 234039_0
11 234821,0,Building Additions/Alterations,Office,2011-07-08T00:00:00Z,2011-10-27T00:00:00Z,2013-07-24T00:00:00Z,Closed,M5A,371,11 234821_0
11 236661,0,New Building,Apartment Building,2011-07-12T00:00:00Z,2013-10-25T00:00:00Z,2016-08-29T00:00:00Z,Closed,NA,591,11 236661_0
11 239542,1,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,2014-12-22T00:00:00Z,2015-10-30T00:00:00Z,NA,Revision Issued,M3J,1114,11 239542_1
11 245016,0,New Building,Apartment Building,2011-07-25T00:00:00Z,2014-04-04T00:00:00Z,NA,Inspection,M6S,191.6,11 245016_0
11 249770,0,New Building,Mixed Use/Res w Non Res,2011-08-02T00:00:00Z,2014-10-28T00:00:00Z,2016-06-14T00:00:00Z,Closed,NA,1093,11 249770_0
11 253977,0,New Houses,SFD - Detached,2011-08-09T00:00:00Z,2011-09-27T00:00:00Z,NA,Inspection,M6H,66,11 253977_0
11 263561,0,New Building,Mixed Use/Res w Non Res,2011-08-25T00:00:00Z,2013-04-04T00:00:00Z,NA,Inspection,NA,692,11 263561_0
11 273461,0,New Building,Apartment Building,2011-09-13T00:00:00Z,2013-06-20T00:00:00Z,NA,Inspection,NA,2336.3700000000003,11 273461_0
11 274541,0,New Building,Apartment Building,2011-09-14T00:00:00Z,2013-06-20T00:00:00Z,NA,Inspection,NA,2353,11 274541_0
11 276573,0,New Building,Mixed Use/Res w Non Res,2011-09-16T00:00:00Z,2013-05-31T00:00:00Z,NA,Inspection,NA,593.93,11 276573_0
11 279729,0,New Building,Hospital,2011-09-22T00:00:00Z,2013-03-05T00:00:00Z,NA,Inspection,M5S,1060.6,11 279729_0
11 280530,0,New Building,Apartment Building,2011-09-23T00:00:00Z,2013-11-29T00:00:00Z,NA,Inspection,M2J,952,11 280530_0
11 284988,0,New Building,Multiple Use/Non Residential,2011-09-30T00:00:00Z,2013-07-26T00:00:00Z,2017-02-28T00:00:00Z,Closed,NA,4363,11 284988_0
11 287084,0,New Building,Mixed Use/Res w Non Res,2011-10-04T00:00:00Z,2013-09-04T00:00:00Z,2015-11-13T00:00:00Z,Closed,M5V,63.01,11 287084_0
11 287641,0,New Building,Apartment Building,2011-10-05T00:00:00Z,2014-03-20T00:00:00Z,NA,Inspection,M8V,2086,11 287641_0
11 288197,0,New Building,Elementary School,2011-10-06T00:00:00Z,2012-07-31T00:00:00Z,NA,Inspection,M9V,NA,11 288197_0
11 288242,0,New Building,Apartment Building,2011-10-06T00:00:00Z,2013-05-21T00:00:00Z,NA,Inspection,M5V,175.9,11 288242_0
11 293926,0,New Building,Apartment Building,2011-10-17T00:00:00Z,2013-01-21T00:00:00Z,2016-04-19T00:00:00Z,Closed,NA,248,11 293926_0
11 294699,0,New Building,Apartment Building,2011-10-18T00:00:00Z,2013-01-22T00:00:00Z,2017-03-08T00:00:00Z,Closed,M5A,300,11 294699_0
11 295644,0,New Building,Apartment Building,2011-10-19T00:00:00Z,2014-11-13T00:00:00Z,NA,Inspection,M8V,1087,11 295644_0
11 299749,0,New Building,Mixed Use/Res w Non Res,2011-10-26T00:00:00Z,2015-02-25T00:00:00Z,NA,Inspection,M5A,181.26999999999998,11 299749_0
11 309981,0,New Building,University,2011-11-15T00:00:00Z,2012-10-31T00:00:00Z,2015-07-27T00:00:00Z,Closed,M5B,889.5,11 309981_0
11 310205,0,New Building,Multiple Use/Non Residential,2011-11-15T00:00:00Z,2012-07-17T00:00:00Z,2014-03-25T00:00:00Z,Closed,M1L,240.52,11 310205_0
11 311255,0,New Building,Mixed Use/Res w Non Res,2011-11-17T00:00:00Z,2015-11-10T00:00:00Z,NA,Inspection,M5V,1225.3,11 311255_0
11 311907,0,New Building,Apartment Building,2011-11-18T00:00:00Z,2014-05-09T00:00:00Z,NA,Inspection,M2J,489,11 311907_0
11 312272,0,Building Additions/Alterations,Elementary School,2011-11-18T00:00:00Z,2012-06-18T00:00:00Z,2018-07-10T00:00:00Z,Closed,M1E,1197,11 312272_0
