PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
13 140016,0,New Building,Stadium,2013-03-25T00:00:00Z,2013-11-13T00:00:00Z,NA,Inspection,M3J,20,13 140016_0
13 144750,0,New Building,Mixed Use/Res w Non Res,2013-04-04T00:00:00Z,2015-08-17T00:00:00Z,NA,Inspection,NA,3113.4,13 144750_0
13 147105,0,New Building,Mixed Use/Res w Non Res,2013-04-09T00:00:00Z,2014-07-03T00:00:00Z,2016-09-09T00:00:00Z,Closed,M4L,296,13 147105_0
13 148751,0,New Building,Apartment Building,2013-04-11T00:00:00Z,2013-08-29T00:00:00Z,NA,Inspection,M5T,281,13 148751_0
13 155002,0,New Building,Mixed Use/Res w Non Res,2013-04-22T00:00:00Z,2016-09-01T00:00:00Z,2020-02-27T00:00:00Z,Closed,M4X,890,13 155002_0
13 161711,0,New Building,Office,2013-05-03T00:00:00Z,2015-08-24T00:00:00Z,2022-04-19T00:00:00Z,Closed,M5H,1224,13 161711_0
13 161711,4,New Building,Office,2019-09-10T00:00:00Z,2021-02-05T00:00:00Z,2022-04-19T00:00:00Z,Closed,M5H,1103,13 161711_4
13 163492,0,Building Additions/Alterations,Apartment Building,2013-05-07T00:00:00Z,2013-07-03T00:00:00Z,2021-02-16T00:00:00Z,Closed,M5A,426,13 163492_0
13 164224,0,New Building,Mixed Use/Res w Non Res,2013-05-07T00:00:00Z,2017-04-04T00:00:00Z,NA,Inspection,M6C,204.5,13 164224_0
13 173169,0,New Building,Mixed Use/Res w Non Res,2013-05-23T00:00:00Z,2018-01-12T00:00:00Z,2019-08-07T00:00:00Z,Closed,M5R,365,13 173169_0
13 173674,0,New Building,Mixed Use/Res w Non Res,2013-05-24T00:00:00Z,2016-08-22T00:00:00Z,NA,Inspection,M8Y,524,13 173674_0
13 179846,0,New Building,Mixed Use/Res w Non Res,2013-06-03T00:00:00Z,2015-10-19T00:00:00Z,2021-02-18T00:00:00Z,Closed,M8V,50,13 179846_0
13 182544,0,New Building,Mixed Use/Res w Non Res,2013-06-06T00:00:00Z,2015-01-15T00:00:00Z,NA,Inspection,M4M,1015.1700000000001,13 182544_0
13 187385,0,New Building,College/Trade/Tech School/Training Cent.,2013-06-13T00:00:00Z,2014-07-15T00:00:00Z,NA,Inspection,M9W,1017,13 187385_0
13 190716,0,New Building,Mixed Use/Res w Non Res,2013-06-19T00:00:00Z,2015-04-21T00:00:00Z,2018-02-05T00:00:00Z,Closed,M5T,444,13 190716_0
13 195524,0,New Building,Office,2013-06-27T00:00:00Z,2013-11-13T00:00:00Z,2015-03-26T00:00:00Z,Closed,M9M,211,13 195524_0
13 195531,0,New Building,Mixed Use/Res w Non Res,2013-06-27T00:00:00Z,2018-06-20T00:00:00Z,2020-11-18T00:00:00Z,Closed,NA,0,13 195531_0
13 196215,0,New Building,Apartment Building,2013-06-28T00:00:00Z,2016-10-24T00:00:00Z,NA,Inspection,M4Y,60,13 196215_0
13 196385,0,New Building,Mixed Use/Res w Non Res,2013-06-28T00:00:00Z,2015-04-07T00:00:00Z,NA,Inspection,M6R,500,13 196385_0
13 197455,0,New Building,Mixed Use/Res w Non Res,2013-07-02T00:00:00Z,2019-05-24T00:00:00Z,2020-07-13T00:00:00Z,Closed,M5A,582.2,13 197455_0
13 203373,0,New Building,Retail Mall/Plaza,2013-07-12T00:00:00Z,2014-01-08T00:00:00Z,2015-03-12T00:00:00Z,Closed,M1P,0,13 203373_0
13 206962,0,New Building,Mixed Use/Res w Non Res,2013-07-19T00:00:00Z,2015-01-07T00:00:00Z,2017-01-19T00:00:00Z,Closed,NA,55.6,13 206962_0
13 214460,0,New Building,Apartment Building,2013-08-01T00:00:00Z,2015-07-30T00:00:00Z,NA,Inspection,NA,498,13 214460_0
13 214855,0,Building Additions/Alterations,Multiple Unit Building,2013-08-01T00:00:00Z,2015-04-09T00:00:00Z,2022-06-28T00:00:00Z,Closed,M5G,0,13 214855_0
13 215227,0,New Building,Mixed Use/Res w Non Res,2013-08-02T00:00:00Z,2014-05-07T00:00:00Z,NA,Inspection,M6J,325,13 215227_0
13 227528,0,New Building,Apartment Building,2013-08-28T00:00:00Z,2016-12-28T00:00:00Z,NA,Inspection,NA,1511,13 227528_0
13 228385,0,New Building,Apartment Building,2013-08-29T00:00:00Z,2015-07-24T00:00:00Z,NA,Inspection,M4S,194.7,13 228385_0
13 229440,0,New Building,Mixed Use/Res w Non Res,2013-09-03T00:00:00Z,2019-05-09T00:00:00Z,NA,Inspection,M4P,508.21999999999997,13 229440_0
13 231262,0,New Building,Retail Store,2013-09-05T00:00:00Z,2016-08-23T00:00:00Z,2025-07-24T00:00:00Z,Closed,M2K,127,13 231262_0
13 237742,0,New Building,Mixed Use/Res w Non Res,2013-09-18T00:00:00Z,2019-02-05T00:00:00Z,NA,Inspection,M5B,606.748,13 237742_0
13 238027,0,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,2013-09-18T00:00:00Z,2016-08-16T00:00:00Z,2019-01-16T00:00:00Z,Closed,M8Z,1852,13 238027_0
13 238466,0,New Building,Parking Garage,2013-09-19T00:00:00Z,2016-01-05T00:00:00Z,NA,Permit Issued,NA,1368.3,13 238466_0
13 238504,0,New Building,Apartment Building,2013-09-19T00:00:00Z,2016-01-05T00:00:00Z,NA,Inspection,NA,1368.3,13 238504_0
13 238679,0,New Building,Apartment Building,2013-09-19T00:00:00Z,2016-01-18T00:00:00Z,NA,Inspection,NA,1368,13 238679_0
13 238779,0,New Building,Multiple Use/Non Residential,2013-09-19T00:00:00Z,2014-10-30T00:00:00Z,2017-10-03T00:00:00Z,Closed,M9B,427,13 238779_0
13 239910,0,New Building,Mixed Use/Res w Non Res,2013-09-23T00:00:00Z,2015-11-10T00:00:00Z,2018-11-02T00:00:00Z,Closed,M6J,280.6,13 239910_0
13 240040,0,New Building,Mixed Use/Res w Non Res,2013-09-23T00:00:00Z,2017-07-04T00:00:00Z,2026-02-06T00:00:00Z,Closed,M5V,1040,13 240040_0
13 242422,0,New Building,Mixed Use/Res w Non Res,2013-09-26T00:00:00Z,2016-03-24T00:00:00Z,NA,Inspection,M5V,252.28,13 242422_0
13 243000,0,New Building,Mixed Use/Res w Non Res,2013-09-27T00:00:00Z,2016-10-07T00:00:00Z,2020-02-08T00:00:00Z,Closed,M5B,195.13,13 243000_0
13 245084,0,New Building,Mixed Use/Res w Non Res,2013-10-02T00:00:00Z,2017-03-28T00:00:00Z,2021-03-22T00:00:00Z,Closed,NA,495,13 245084_0
13 248991,0,New Building,Apartment Building,2013-10-10T00:00:00Z,2015-12-11T00:00:00Z,2020-07-20T00:00:00Z,Closed,M4S,172,13 248991_0
13 249371,0,New Building,Apartment Building,2013-10-10T00:00:00Z,2015-12-11T00:00:00Z,2020-07-20T00:00:00Z,Closed,M4S,435,13 249371_0
13 254745,1,New Building,Multiple Use/Non Residential,2016-09-23T00:00:00Z,2017-01-16T00:00:00Z,NA,Revision Issued,NA,639.8299999999999,13 254745_1
13 254745,0,New Building,Multiple Use/Non Residential,2013-10-22T00:00:00Z,2016-09-02T00:00:00Z,NA,Inspection,NA,883,13 254745_0
13 256237,0,New Building,Apartment Building,2013-10-25T00:00:00Z,2017-08-01T00:00:00Z,2020-08-11T00:00:00Z,Closed,NA,570,13 256237_0
13 256623,0,New Building,Apartment Building,2013-10-25T00:00:00Z,2022-05-27T00:00:00Z,NA,Inspection,NA,829.09,13 256623_0
13 256626,0,Building Additions/Alterations,University,2013-10-25T00:00:00Z,2015-03-24T00:00:00Z,2020-10-08T00:00:00Z,Closed,M5S,528,13 256626_0
13 257546,0,New Building,University,2013-10-28T00:00:00Z,2015-04-08T00:00:00Z,2018-06-14T00:00:00Z,Closed,M3J,1952,13 257546_0
13 260980,0,New Building,Apartment Building,2013-11-05T00:00:00Z,2015-08-14T00:00:00Z,NA,Inspection,M6J,1670,13 260980_0
13 260999,0,New Building,Apartment Building,2013-11-05T00:00:00Z,2015-10-07T00:00:00Z,NA,Inspection,M6J,747,13 260999_0
13 262554,0,New Building,Parking Garage,2013-11-07T00:00:00Z,2016-12-09T00:00:00Z,NA,Inspection,NA,232.38000000000002,13 262554_0
13 262599,0,New Building,Apartment Building,2013-11-07T00:00:00Z,2016-10-27T00:00:00Z,NA,Inspection,NA,232.28,13 262599_0
13 264401,0,New Building,University,2013-11-13T00:00:00Z,2014-09-02T00:00:00Z,2016-05-11T00:00:00Z,Closed,M1C,640,13 264401_0
13 267339,0,New Building,Mixed Use/Res w Non Res,2013-11-19T00:00:00Z,2017-06-22T00:00:00Z,NA,Inspection,NA,378,13 267339_0
13 268791,0,New Building,Mixed Use/Res w Non Res,2013-11-22T00:00:00Z,2019-01-04T00:00:00Z,NA,Inspection,M6K,3837.8,13 268791_0
13 268799,0,New Building,Mixed Use/Res w Non Res,2013-11-22T00:00:00Z,2017-12-19T00:00:00Z,NA,Inspection,M6H,475,13 268799_0
13 269660,0,New Building,Mixed Use/Res w Non Res,2013-11-25T00:00:00Z,2016-09-23T00:00:00Z,NA,Inspection,NA,3572,13 269660_0
13 272728,0,Building Additions/Alterations,Secondary School,2013-12-02T00:00:00Z,2016-04-01T00:00:00Z,2017-11-14T00:00:00Z,Closed,M4S,473.1,13 272728_0
13 273353,0,New Building,Mixed Use/Res w Non Res,2013-12-03T00:00:00Z,2015-10-13T00:00:00Z,NA,Inspection,M5R,238,13 273353_0
13 273353,1,New Building,Mixed Use/Res w Non Res,2016-04-13T00:00:00Z,2016-10-11T00:00:00Z,NA,Revision Issued,M5R,200,13 273353_1
13 273728,0,New Building,Mixed Use/Res w Non Res,2013-12-04T00:00:00Z,2016-03-03T00:00:00Z,2017-03-17T00:00:00Z,Closed,M6K,180,13 273728_0
13 275740,0,New Building,Car Dealership,2013-12-09T00:00:00Z,2015-01-30T00:00:00Z,2017-01-13T00:00:00Z,Closed,NA,718.3,13 275740_0
13 275759,0,New Building,Other,2013-12-11T00:00:00Z,2017-06-05T00:00:00Z,NA,Inspection,NA,385,13 275759_0
13 278994,0,Building Additions/Alterations,Multiple Unit Building,2013-12-17T00:00:00Z,2015-01-15T00:00:00Z,NA,Inspection,M5R,180,13 278994_0
13 279062,0,Building Additions/Alterations,Retail Store,2013-12-17T00:00:00Z,2016-08-18T00:00:00Z,2017-08-25T00:00:00Z,Closed,M6A,7652.99,13 279062_0
13 279564,0,New Building,Crematorium/Cemetary Structure,2013-12-18T00:00:00Z,2015-03-13T00:00:00Z,2017-07-07T00:00:00Z,Closed,M2R,336,13 279564_0
13 279581,0,Building Additions/Alterations,Recreational,2013-12-18T00:00:00Z,2017-12-14T00:00:00Z,NA,Inspection,M6K,25.7,13 279581_0
13 279800,0,New Houses,SFD - Detached,2013-12-19T00:00:00Z,2014-01-09T00:00:00Z,2017-01-11T00:00:00Z,Closed,M2M,486.86,13 279800_0
13 279862,0,New Building,Multiple Use/Non Residential,2013-12-19T00:00:00Z,2017-04-21T00:00:00Z,NA,Inspection,M5R,70,13 279862_0
13 280135,0,New Building,Office,2013-12-19T00:00:00Z,2014-09-17T00:00:00Z,2025-01-23T00:00:00Z,Closed,NA,1098.02,13 280135_0
13 280230,0,New Building,Long Term Care Facility,2013-12-19T00:00:00Z,2014-12-17T00:00:00Z,NA,Inspection,M9W,2119,13 280230_0
13 280536,0,New Building,Mixed Use/Res w Non Res,2013-12-20T00:00:00Z,2018-05-04T00:00:00Z,NA,Inspection,M5R,130.37,13 280536_0
13 280664,0,New Building,Retail Store,2013-12-20T00:00:00Z,2015-02-25T00:00:00Z,NA,Permit Issued,M3N,808,13 280664_0
13 280734,0,Building Additions/Alterations,Multiple Use/Non Residential,2013-12-20T00:00:00Z,2015-12-01T00:00:00Z,NA,Inspection,M4Y,219,13 280734_0
13 281473,0,New Building,Mixed Use/Res w Non Res,2013-12-27T00:00:00Z,NA,NA,Pending Cancellation,M8Y,325,13 281473_0
13 281900,0,New Building,Apartment Building,2013-12-30T00:00:00Z,2020-04-17T00:00:00Z,NA,Inspection,M4V,396,13 281900_0
14 106954,0,New Building,Multiple Use/Non Residential,2014-01-20T00:00:00Z,2016-08-09T00:00:00Z,2021-06-16T00:00:00Z,Closed,NA,1161,14 106954_0
14 112598,0,New Building,Mixed Use/Res w Non Res,2014-02-03T00:00:00Z,2016-10-26T00:00:00Z,NA,Inspection,NA,1869.9,14 112598_0
14 124642,0,New Building,Secondary School,2014-03-05T00:00:00Z,2017-03-29T00:00:00Z,NA,Inspection,M1P,1063,14 124642_0
14 125945,0,New Building,Mixed Use/Res w Non Res,2014-03-07T00:00:00Z,2016-11-23T00:00:00Z,2020-11-16T00:00:00Z,Closed,M6P,202,14 125945_0
14 126064,0,Building Additions/Alterations,Multiple Use/Non Residential,2014-03-07T00:00:00Z,2015-12-14T00:00:00Z,NA,Inspection,M5S,624,14 126064_0
14 126064,2,Building Additions/Alterations,Multiple Use/Non Residential,2016-09-30T00:00:00Z,2017-09-08T00:00:00Z,NA,Revision Issued,M5S,628,14 126064_2
14 126703,0,New Building,Apartment Building,2014-03-10T00:00:00Z,2018-06-14T00:00:00Z,NA,Inspection,M5V,252,14 126703_0
14 128197,0,New Building,Mixed Use/Res w Non Res,2014-03-13T00:00:00Z,2015-05-28T00:00:00Z,NA,Inspection,M5T,366,14 128197_0
14 128260,0,New Building,Mixed Use/Res w Non Res,2014-03-13T00:00:00Z,2016-12-07T00:00:00Z,2020-02-10T00:00:00Z,Closed,M1N,320.9,14 128260_0
14 128856,0,New Building,Apartment Building,2014-03-14T00:00:00Z,2016-10-19T00:00:00Z,NA,Permit Issued,NA,640,14 128856_0
14 136120,0,Small Residential Projects,SFD - Detached,2014-04-01T00:00:00Z,2014-05-28T00:00:00Z,2016-09-16T00:00:00Z,Closed,M6R,0,14 136120_0
14 142189,0,New Building,Apartment Building,2014-04-14T00:00:00Z,2016-01-06T00:00:00Z,NA,Inspection,M6R,433.5,14 142189_0
14 144636,0,Building Additions/Alterations,Industrial,2014-04-17T00:00:00Z,2014-10-02T00:00:00Z,2016-04-26T00:00:00Z,Closed,M3H,2203,14 144636_0
14 146712,0,New Building,Apartment Building,2014-04-24T00:00:00Z,2016-09-14T00:00:00Z,NA,Inspection,M2J,50,14 146712_0
14 148303,0,New Building,Mixed Use/Res w Non Res,2014-04-28T00:00:00Z,2017-06-23T00:00:00Z,2020-01-15T00:00:00Z,Closed,NA,74.6,14 148303_0
14 156648,0,Building Additions/Alterations,Secondary School,2014-05-14T00:00:00Z,2015-10-06T00:00:00Z,NA,Inspection,M4V,640.7700000000001,14 156648_0
14 157349,0,New Building,Apartment Building,2014-05-15T00:00:00Z,2018-07-19T00:00:00Z,2019-08-09T00:00:00Z,Closed,M6C,107,14 157349_0
14 159180,0,New Building,Mixed Use/Res w Non Res,2014-05-21T00:00:00Z,2016-05-17T00:00:00Z,NA,Inspection,M4M,328,14 159180_0
14 163201,0,New Building,Mixed Use/Res w Non Res,2014-05-28T00:00:00Z,2017-04-06T00:00:00Z,NA,Inspection,NA,989.52,14 163201_0
14 165292,0,New Building,Other,2014-05-30T00:00:00Z,2014-09-19T00:00:00Z,2015-10-27T00:00:00Z,Closed,M1X,238.95000000000002,14 165292_0
14 169786,0,New Building,Mixed Use/Res w Non Res,2014-06-06T00:00:00Z,2015-01-28T00:00:00Z,2017-08-16T00:00:00Z,Closed,M5B,302,14 169786_0
14 172874,0,New Building,Apartment Building,2014-06-12T00:00:00Z,2017-03-31T00:00:00Z,2017-09-26T00:00:00Z,Closed,M5T,497,14 172874_0
14 174102,0,New Building,Apartment Building,2014-06-15T00:00:00Z,2015-12-22T00:00:00Z,NA,Inspection,M4P,580,14 174102_0
14 174105,0,New Building,Apartment Building,2014-06-15T00:00:00Z,2017-01-10T00:00:00Z,2019-08-12T00:00:00Z,Closed,M4P,70,14 174105_0
14 177778,0,Small Residential Projects,SFD - Detached,2014-06-20T00:00:00Z,2014-10-01T00:00:00Z,2015-07-15T00:00:00Z,Closed,M2N,74.9,14 177778_0
14 179367,0,New Building,Apartment Building,2014-06-24T00:00:00Z,2015-08-10T00:00:00Z,2018-07-31T00:00:00Z,Closed,M4V,320.68,14 179367_0
14 183525,0,New Building,Community Hall,2014-07-02T00:00:00Z,2014-07-30T00:00:00Z,2015-08-26T00:00:00Z,Closed,M1W,414,14 183525_0
14 186513,0,New Building,Mixed Use/Res w Non Res,2014-07-08T00:00:00Z,2017-01-26T00:00:00Z,NA,Inspection,M4Y,30,14 186513_0
14 187352,0,New Building,Mixed Use/Res w Non Res,2014-07-09T00:00:00Z,2014-12-15T00:00:00Z,2022-11-30T00:00:00Z,Closed,M1G,1916,14 187352_0
14 198747,0,New Building,Mixed Use/Res w Non Res,2014-07-29T00:00:00Z,2017-06-30T00:00:00Z,2022-06-14T00:00:00Z,Closed,M5T,873,14 198747_0
14 203424,0,New Building,Mixed Use/Res w Non Res,2014-08-08T00:00:00Z,2016-04-14T00:00:00Z,2023-11-28T00:00:00Z,Closed,M6C,247,14 203424_0
14 203621,0,New Building,Elementary School,2014-08-08T00:00:00Z,2016-07-18T00:00:00Z,2021-03-17T00:00:00Z,Closed,M8V,0,14 203621_0
14 206694,0,New Building,Mixed Use/Res w Non Res,2014-08-14T00:00:00Z,2016-06-01T00:00:00Z,2024-09-24T00:00:00Z,Closed,M4M,115.2,14 206694_0
14 207315,0,New Building,Other,2014-08-15T00:00:00Z,2017-02-13T00:00:00Z,NA,Inspection,NA,496.58,14 207315_0
14 208554,0,Building Additions/Alterations,Office,2014-08-19T00:00:00Z,2015-04-17T00:00:00Z,NA,Inspection,M9W,275.2,14 208554_0
14 209528,0,New Building,Place of Worship,2014-08-20T00:00:00Z,2016-05-20T00:00:00Z,NA,Inspection,M1K,278.86,14 209528_0
14 209736,0,New Building,Retail Store,2014-08-21T00:00:00Z,2015-01-27T00:00:00Z,NA,Inspection,M1H,1008,14 209736_0
14 210021,0,New Building,Other,2014-08-21T00:00:00Z,2015-02-13T00:00:00Z,NA,Inspection,NA,404,14 210021_0
14 216875,0,New Building,Mixed Use/Res w Non Res,2014-09-04T00:00:00Z,2017-03-17T00:00:00Z,NA,Inspection,M6L,230,14 216875_0
14 219091,0,Building Additions/Alterations,Parking Garage,2014-09-09T00:00:00Z,2017-05-12T00:00:00Z,NA,Inspection,M4Y,51.2,14 219091_0
14 223706,1,Building Additions/Alterations,Other,2015-08-26T00:00:00Z,2015-10-27T00:00:00Z,NA,Revision Issued,M1B,610.19,14 223706_1
14 223706,0,Building Additions/Alterations,Other,2014-09-17T00:00:00Z,2015-02-19T00:00:00Z,NA,Inspection,M1B,489.12,14 223706_0
14 231152,0,New Building,Recreational,2014-10-02T00:00:00Z,2016-03-23T00:00:00Z,NA,Inspection,M8V,250,14 231152_0
14 231200,0,New Building,College/Trade/Tech School/Training Cent.,2014-10-02T00:00:00Z,2015-10-07T00:00:00Z,NA,Inspection,NA,530,14 231200_0
14 231616,0,New Building,Multiple Use/Non Residential,2014-10-02T00:00:00Z,2015-07-22T00:00:00Z,2016-01-27T00:00:00Z,Closed,M4G,387.03,14 231616_0
14 231634,0,New Building,Industrial,2014-10-02T00:00:00Z,2016-11-16T00:00:00Z,2017-03-03T00:00:00Z,Closed,M4G,180,14 231634_0
14 237565,0,New Building,Apartment Building,2014-10-15T00:00:00Z,2018-02-27T00:00:00Z,2026-03-20T00:00:00Z,Closed,M4P,528.5,14 237565_0
14 241284,0,New Building,Apartment Building,2014-10-22T00:00:00Z,2017-06-07T00:00:00Z,NA,Inspection,M4P,348,14 241284_0
14 245143,1,New Houses,SFD - Detached,2014-12-17T00:00:00Z,2015-01-08T00:00:00Z,2016-03-23T00:00:00Z,Closed,M4G,536,14 245143_1
14 245186,1,New Houses,SFD - Detached,2014-12-17T00:00:00Z,2015-01-08T00:00:00Z,2016-03-23T00:00:00Z,Closed,M4G,238,14 245186_1
14 245630,0,New Building,Apartment Building,2014-10-30T00:00:00Z,2017-01-19T00:00:00Z,2019-02-20T00:00:00Z,Closed,M1J,600,14 245630_0
14 246853,0,New Building,Mixed Use/Res w Non Res,2014-11-03T00:00:00Z,2018-06-19T00:00:00Z,NA,Inspection,M4W,257,14 246853_0
14 246981,0,New Building,Mixed Use/Res w Non Res,2014-11-03T00:00:00Z,2017-10-24T00:00:00Z,2017-12-06T00:00:00Z,Closed,M6J,336,14 246981_0
14 247824,0,New Building,Mixed Use/Res w Non Res,2014-11-04T00:00:00Z,2016-03-18T00:00:00Z,2021-02-18T00:00:00Z,Closed,M8V,656,14 247824_0
14 247852,0,New Building,Mixed Use/Res w Non Res,2014-11-04T00:00:00Z,2018-07-10T00:00:00Z,NA,Inspection,M2J,1232.3,14 247852_0
14 248687,0,New Building,Mixed Use/Res w Non Res,2014-11-06T00:00:00Z,2019-11-22T00:00:00Z,NA,Inspection,M8V,1216,14 248687_0
14 249369,0,New Building,Mixed Use/Res w Non Res,2014-11-07T00:00:00Z,2018-10-16T00:00:00Z,2022-05-04T00:00:00Z,Closed,M5B,247,14 249369_0
14 250299,0,New Building,Apartment Building,2014-11-12T00:00:00Z,2018-04-10T00:00:00Z,NA,Permit Issued,NA,489,14 250299_0
14 250520,0,New Houses,SFD - Detached,2014-11-12T00:00:00Z,2015-01-09T00:00:00Z,2020-02-27T00:00:00Z,Closed,M4W,12.5,14 250520_0
14 253380,0,New Building,Apartment Building,2014-11-18T00:00:00Z,2016-12-21T00:00:00Z,NA,Inspection,M2N,1074,14 253380_0
14 253621,0,New Building,Multiple Use/Non Residential,2014-11-18T00:00:00Z,2017-04-27T00:00:00Z,NA,Inspection,M5S,116.8,14 253621_0
14 253693,0,New Building,Mixed Use/Res w Non Res,2014-11-18T00:00:00Z,2017-11-28T00:00:00Z,NA,Inspection,M4Y,214,14 253693_0
14 254972,0,New Building,Mixed Use/Res w Non Res,2014-11-21T00:00:00Z,2018-10-05T00:00:00Z,2021-11-11T00:00:00Z,Closed,M6A,537,14 254972_0
14 255836,0,New Building,Mixed Use/Res w Non Res,2014-11-24T00:00:00Z,2018-12-17T00:00:00Z,NA,Inspection,NA,514,14 255836_0
14 256786,0,New Building,Mixed Use/Res w Non Res,2014-11-26T00:00:00Z,2017-05-02T00:00:00Z,NA,Inspection,M5A,1204,14 256786_0
14 256851,0,New Building,Mixed Use/Res w Non Res,2014-11-26T00:00:00Z,2017-11-24T00:00:00Z,NA,Inspection,NA,663.03,14 256851_0
14 257413,0,New Building,Apartment Building,2014-11-27T00:00:00Z,2016-04-28T00:00:00Z,2018-05-08T00:00:00Z,Closed,M3M,828,14 257413_0
14 257417,0,New Building,Apartment Building,2014-11-27T00:00:00Z,2018-08-31T00:00:00Z,2019-09-23T00:00:00Z,Closed,NA,3802,14 257417_0
14 257431,0,New Building,Apartment Building,2014-11-27T00:00:00Z,2017-11-09T00:00:00Z,2019-09-23T00:00:00Z,Closed,NA,3802,14 257431_0
14 257790,0,New Building,Mixed Use/Res w Non Res,2014-11-28T00:00:00Z,2016-12-22T00:00:00Z,2019-12-19T00:00:00Z,Closed,M5B,402,14 257790_0
14 258677,0,New Building,Apartment Building,2014-12-01T00:00:00Z,2018-05-09T00:00:00Z,2022-03-22T00:00:00Z,Closed,M1N,255.53,14 258677_0
14 259634,0,New Building,Mixed Use/Res w Non Res,2014-12-03T00:00:00Z,2019-08-09T00:00:00Z,2022-08-23T00:00:00Z,Closed,M5C,540,14 259634_0
14 260744,0,New Building,Apartment Building,2014-12-05T00:00:00Z,2017-06-16T00:00:00Z,NA,Inspection,M4G,320,14 260744_0
14 260855,0,New Building,Parking Garage,2014-12-05T00:00:00Z,2017-10-30T00:00:00Z,NA,Inspection,M4G,320,14 260855_0
14 261064,0,New Building,Mixed Use/Res w Non Res,2014-12-05T00:00:00Z,2021-11-03T00:00:00Z,2024-11-25T00:00:00Z,Closed,M6G,117,14 261064_0
14 261921,0,New Building,Apartment Building,2014-12-09T00:00:00Z,2017-06-29T00:00:00Z,2019-04-18T00:00:00Z,Closed,M9B,61,14 261921_0
14 262283,0,New Building,Mixed Use/Res w Non Res,2014-12-09T00:00:00Z,NA,NA,Pending Cancellation,M6K,1600,14 262283_0
14 262293,0,New Building,Apartment Building,2014-12-09T00:00:00Z,2017-09-28T00:00:00Z,NA,Permit Issued,M2J,74,14 262293_0
14 262585,0,New Building,Apartment Building,2014-12-10T00:00:00Z,2016-04-11T00:00:00Z,NA,Inspection,NA,0,14 262585_0
14 262832,0,New Building,Mixed Use/Res w Non Res,2014-12-10T00:00:00Z,2019-05-16T00:00:00Z,2025-06-20T00:00:00Z,Closed,M8V,590.2,14 262832_0
14 263099,0,New Building,Apartment Building,2014-12-11T00:00:00Z,2020-01-29T00:00:00Z,NA,Inspection,M6A,2194,14 263099_0
14 263247,0,New Building,Apartment Building,2014-12-11T00:00:00Z,2020-01-24T00:00:00Z,NA,Inspection,M6A,157,14 263247_0
14 264349,0,New Building,Mixed Use/Res w Non Res,2014-12-15T00:00:00Z,2018-02-27T00:00:00Z,2019-12-19T00:00:00Z,Closed,M5P,0,14 264349_0
14 264762,0,New Building,Parking Garage,2014-12-16T00:00:00Z,2019-02-04T00:00:00Z,2021-06-15T00:00:00Z,Closed,M6E,1335,14 264762_0
14 265297,0,Building Additions/Alterations,Elementary School,2014-12-17T00:00:00Z,2016-11-01T00:00:00Z,2023-11-02T00:00:00Z,Closed,M5R,160,14 265297_0
14 265586,0,Building Additions/Alterations,University,2014-12-18T00:00:00Z,2015-10-28T00:00:00Z,2026-01-26T00:00:00Z,Closed,M5S,638,14 265586_0
14 265709,0,New Building,Multiple Use/Non Residential,2014-12-18T00:00:00Z,2020-02-05T00:00:00Z,NA,Inspection,M5E,1550,14 265709_0
14 265842,0,New Building,Apartment Building,2014-12-18T00:00:00Z,2017-10-04T00:00:00Z,NA,Inspection,NA,393.3,14 265842_0
14 266003,0,New Building,Apartment Building,2014-12-19T00:00:00Z,2016-07-08T00:00:00Z,2019-01-16T00:00:00Z,Closed,M1N,1136,14 266003_0
14 266073,0,New Building,Apartment Building,2014-12-19T00:00:00Z,2019-10-11T00:00:00Z,2023-03-23T00:00:00Z,Closed,M5M,597,14 266073_0
14 266096,0,New Building,Apartment Building,2014-12-19T00:00:00Z,2019-07-23T00:00:00Z,NA,Inspection,NA,1804,14 266096_0
14 266226,0,New Building,Mixed Use/Res w Non Res,2014-12-19T00:00:00Z,2018-02-13T00:00:00Z,2025-01-21T00:00:00Z,Closed,M4P,678,14 266226_0
14 266247,0,New Building,Apartment Building,2014-12-19T00:00:00Z,2018-05-23T00:00:00Z,NA,Inspection,M8X,262.19,14 266247_0
14 266371,0,New Building,Library,2014-12-19T00:00:00Z,2015-06-05T00:00:00Z,NA,Inspection,M9V,1110,14 266371_0
14 266401,0,New Building,Mixed Use/Res w Non Res,2014-12-19T00:00:00Z,2020-06-01T00:00:00Z,2023-06-22T00:00:00Z,Closed,M5V,330,14 266401_0
14 266875,0,New Building,Multiple Use/Non Residential,2014-12-22T00:00:00Z,2016-03-09T00:00:00Z,NA,Inspection,M4W,121.4,14 266875_0
14 267277,0,New Building,Apartment Building,2014-12-23T00:00:00Z,2017-12-11T00:00:00Z,NA,Inspection,NA,1354,14 267277_0
14 267285,0,New Building,Apartment Building,2014-12-23T00:00:00Z,2016-09-29T00:00:00Z,2020-10-26T00:00:00Z,Closed,M1R,839,14 267285_0
14 267291,0,New Building,Apartment Building,2014-12-23T00:00:00Z,2017-09-11T00:00:00Z,2020-09-16T00:00:00Z,Closed,M1R,839,14 267291_0
