PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
12 278080,0,Retail Store,2012-11-13T00:00:00Z,2013-09-30T00:00:00Z,NA,Inspection,M9C,14306,FALSE,12 278080_0,M9C,14306
12 283532,0,Apartment Building,2012-11-22T00:00:00Z,2017-12-11T00:00:00Z,NA,Inspection,M6J,447,FALSE,12 283532_0,M6J,447
12 292665,0,Warehouse,2012-12-12T00:00:00Z,2015-03-06T00:00:00Z,NA,Inspection,M9L,3519,FALSE,12 292665_0,M9L,3519
12 296413,0,Apartment Building,2012-12-20T00:00:00Z,2016-06-08T00:00:00Z,2018-01-23T00:00:00Z,Closed,NA,760,FALSE,12 296413_0,NA,760
12 296537,0,Mixed Use/Res w Non Res,2012-12-20T00:00:00Z,2014-09-30T00:00:00Z,NA,Inspection,M6H,100,FALSE,12 296537_0,M6H,100
12 296588,0,Elementary School,2012-12-20T00:00:00Z,2013-05-24T00:00:00Z,NA,Inspection,M3L,660,TRUE,12 296588_0,M3L,660
12 296723,0,Apartment Building,2012-12-20T00:00:00Z,2014-04-15T00:00:00Z,2016-02-18T00:00:00Z,Closed,M4P,620.9,FALSE,12 296723_0,M4P,620.9
12 296750,0,Multiple Use/Non Residential,2012-12-20T00:00:00Z,2013-11-18T00:00:00Z,2017-01-17T00:00:00Z,Closed,M5H,236,FALSE,12 296750_0,M5H,236
12 296759,0,Office,2012-12-20T00:00:00Z,2013-10-15T00:00:00Z,2018-11-06T00:00:00Z,Closed,M5V,1157.33,FALSE,12 296759_0,M5V,1157.33
13 108330,0,Apartment Building,2013-01-18T00:00:00Z,2014-09-26T00:00:00Z,2016-05-02T00:00:00Z,Closed,NA,534,FALSE,13 108330_0,NA,534
13 111792,0,Apartment Building,2013-01-28T00:00:00Z,2016-08-18T00:00:00Z,2022-02-08T00:00:00Z,Closed,NA,752,FALSE,13 111792_0,NA,752
13 119998,0,Multiple Use/Non Residential,2013-02-14T00:00:00Z,2014-06-12T00:00:00Z,NA,Inspection,NA,574,FALSE,13 119998_0,NA,574
13 122221,0,Motel/Hotel,2013-02-20T00:00:00Z,2014-09-08T00:00:00Z,NA,Inspection,M6K,4356,FALSE,13 122221_0,M6K,4356
13 122967,0,Multiple Use/Non Residential,2013-02-21T00:00:00Z,2013-04-02T00:00:00Z,2017-01-09T00:00:00Z,Closed,M5H,229.86,FALSE,13 122967_0,M5H,229.86
13 123611,0,Mixed Use/Res w Non Res,2013-02-22T00:00:00Z,2014-07-21T00:00:00Z,2018-10-11T00:00:00Z,Closed,NA,492,FALSE,13 123611_0,NA,492
13 124990,0,Mixed Use/Res w Non Res,2013-02-26T00:00:00Z,2014-01-29T00:00:00Z,NA,Inspection,M6P,1113,FALSE,13 124990_0,M6P,1113
13 127050,0,Stacked Townhouses,2013-03-01T00:00:00Z,2014-12-18T00:00:00Z,NA,Inspection,M4L,123,FALSE,13 127050_0,M4L,123
13 127053,0,Stacked Townhouses,2013-03-01T00:00:00Z,2014-12-18T00:00:00Z,NA,Inspection,M4L,122,FALSE,13 127053_0,M4L,122
13 131614,0,Mixed Use/Res w Non Res,2013-03-12T00:00:00Z,2016-04-05T00:00:00Z,NA,Inspection,NA,340.96999999999997,FALSE,13 131614_0,NA,340.96999999999997
13 133841,0,Other,2013-03-15T00:00:00Z,2014-04-16T00:00:00Z,2019-05-14T00:00:00Z,Closed,M1E,746,FALSE,13 133841_0,M1E,746
13 137731,0,Retail Store,2013-03-20T00:00:00Z,2014-04-16T00:00:00Z,NA,Inspection,M4G,1348,FALSE,13 137731_0,M4G,1348
13 140016,0,Stadium,2013-03-25T00:00:00Z,2013-11-13T00:00:00Z,NA,Inspection,M3J,20,FALSE,13 140016_0,M3J,20
13 144750,0,Mixed Use/Res w Non Res,2013-04-04T00:00:00Z,2015-08-17T00:00:00Z,NA,Inspection,NA,3113.4,FALSE,13 144750_0,NA,3113.4
13 147105,0,Mixed Use/Res w Non Res,2013-04-09T00:00:00Z,2014-07-03T00:00:00Z,2016-09-09T00:00:00Z,Closed,M4L,296,FALSE,13 147105_0,M4L,296
13 148751,0,Apartment Building,2013-04-11T00:00:00Z,2013-08-29T00:00:00Z,NA,Inspection,M5T,281,FALSE,13 148751_0,M5T,281
13 155002,0,Mixed Use/Res w Non Res,2013-04-22T00:00:00Z,2016-09-01T00:00:00Z,2020-02-27T00:00:00Z,Closed,M4X,890,FALSE,13 155002_0,M4X,890
13 161711,0,Office,2013-05-03T00:00:00Z,2015-08-24T00:00:00Z,2022-04-19T00:00:00Z,Closed,M5H,1224,FALSE,13 161711_0,M5H,1224
13 161711,4,Office,2019-09-10T00:00:00Z,2021-02-05T00:00:00Z,2022-04-19T00:00:00Z,Closed,M5H,1103,FALSE,13 161711_4,M5H,1103
13 163492,0,Apartment Building,2013-05-07T00:00:00Z,2013-07-03T00:00:00Z,2021-02-16T00:00:00Z,Closed,M5A,426,FALSE,13 163492_0,M5A,426
13 164224,0,Mixed Use/Res w Non Res,2013-05-07T00:00:00Z,2017-04-04T00:00:00Z,NA,Inspection,M6C,204.5,FALSE,13 164224_0,M6C,204.5
13 173169,0,Mixed Use/Res w Non Res,2013-05-23T00:00:00Z,2018-01-12T00:00:00Z,2019-08-07T00:00:00Z,Closed,M5R,365,FALSE,13 173169_0,M5R,365
13 173674,0,Mixed Use/Res w Non Res,2013-05-24T00:00:00Z,2016-08-22T00:00:00Z,NA,Inspection,M8Y,524,FALSE,13 173674_0,M8Y,524
13 179846,0,Mixed Use/Res w Non Res,2013-06-03T00:00:00Z,2015-10-19T00:00:00Z,2021-02-18T00:00:00Z,Closed,M8V,50,FALSE,13 179846_0,M8V,50
13 182544,0,Mixed Use/Res w Non Res,2013-06-06T00:00:00Z,2015-01-15T00:00:00Z,NA,Inspection,M4M,1015.1700000000001,FALSE,13 182544_0,M4M,1015.1700000000001
13 187385,0,College/Trade/Tech School/Training Cent.,2013-06-13T00:00:00Z,2014-07-15T00:00:00Z,NA,Inspection,M9W,1017,FALSE,13 187385_0,M9W,1017
13 190716,0,Mixed Use/Res w Non Res,2013-06-19T00:00:00Z,2015-04-21T00:00:00Z,2018-02-05T00:00:00Z,Closed,M5T,444,FALSE,13 190716_0,M5T,444
13 195524,0,Office,2013-06-27T00:00:00Z,2013-11-13T00:00:00Z,2015-03-26T00:00:00Z,Closed,M9M,211,FALSE,13 195524_0,M9M,211
13 195531,0,Mixed Use/Res w Non Res,2013-06-27T00:00:00Z,2018-06-20T00:00:00Z,2020-11-18T00:00:00Z,Closed,NA,0,FALSE,13 195531_0,NA,0
13 196215,0,Apartment Building,2013-06-28T00:00:00Z,2016-10-24T00:00:00Z,NA,Inspection,M4Y,60,FALSE,13 196215_0,M4Y,60
13 196385,0,Mixed Use/Res w Non Res,2013-06-28T00:00:00Z,2015-04-07T00:00:00Z,NA,Inspection,M6R,500,FALSE,13 196385_0,M6R,500
13 197455,0,Mixed Use/Res w Non Res,2013-07-02T00:00:00Z,2019-05-24T00:00:00Z,2020-07-13T00:00:00Z,Closed,M5A,582.2,FALSE,13 197455_0,M5A,582.2
13 203373,0,Retail Mall/Plaza,2013-07-12T00:00:00Z,2014-01-08T00:00:00Z,2015-03-12T00:00:00Z,Closed,M1P,0,FALSE,13 203373_0,M1P,0
13 206962,0,Mixed Use/Res w Non Res,2013-07-19T00:00:00Z,2015-01-07T00:00:00Z,2017-01-19T00:00:00Z,Closed,NA,55.6,FALSE,13 206962_0,NA,55.6
13 214460,0,Apartment Building,2013-08-01T00:00:00Z,2015-07-30T00:00:00Z,NA,Inspection,NA,498,FALSE,13 214460_0,NA,498
13 214855,0,Multiple Unit Building,2013-08-01T00:00:00Z,2015-04-09T00:00:00Z,2022-06-28T00:00:00Z,Closed,M5G,0,FALSE,13 214855_0,M5G,0
13 215227,0,Mixed Use/Res w Non Res,2013-08-02T00:00:00Z,2014-05-07T00:00:00Z,NA,Inspection,M6J,325,FALSE,13 215227_0,M6J,325
13 227528,0,Apartment Building,2013-08-28T00:00:00Z,2016-12-28T00:00:00Z,NA,Inspection,NA,1511,FALSE,13 227528_0,NA,1511
13 228385,0,Apartment Building,2013-08-29T00:00:00Z,2015-07-24T00:00:00Z,NA,Inspection,M4S,194.7,FALSE,13 228385_0,M4S,194.7
13 229440,0,Mixed Use/Res w Non Res,2013-09-03T00:00:00Z,2019-05-09T00:00:00Z,NA,Inspection,M4P,508.21999999999997,FALSE,13 229440_0,M4P,508.21999999999997
13 231262,0,Retail Store,2013-09-05T00:00:00Z,2016-08-23T00:00:00Z,2025-07-24T00:00:00Z,Closed,M2K,127,FALSE,13 231262_0,M2K,127
13 237742,0,Mixed Use/Res w Non Res,2013-09-18T00:00:00Z,2019-02-05T00:00:00Z,NA,Inspection,M5B,606.748,FALSE,13 237742_0,M5B,606.748
13 238027,0,College/Trade/Tech School/Training Cent.,2013-09-18T00:00:00Z,2016-08-16T00:00:00Z,2019-01-16T00:00:00Z,Closed,M8Z,1852,FALSE,13 238027_0,M8Z,1852
13 238466,0,Parking Garage,2013-09-19T00:00:00Z,2016-01-05T00:00:00Z,NA,Permit Issued,NA,1368.3,FALSE,13 238466_0,NA,1368.3
13 238504,0,Apartment Building,2013-09-19T00:00:00Z,2016-01-05T00:00:00Z,NA,Inspection,NA,1368.3,FALSE,13 238504_0,NA,1368.3
13 238679,0,Apartment Building,2013-09-19T00:00:00Z,2016-01-18T00:00:00Z,NA,Inspection,NA,1368,FALSE,13 238679_0,NA,1368
13 238779,0,Multiple Use/Non Residential,2013-09-19T00:00:00Z,2014-10-30T00:00:00Z,2017-10-03T00:00:00Z,Closed,M9B,427,FALSE,13 238779_0,M9B,427
13 239910,0,Mixed Use/Res w Non Res,2013-09-23T00:00:00Z,2015-11-10T00:00:00Z,2018-11-02T00:00:00Z,Closed,M6J,280.6,FALSE,13 239910_0,M6J,280.6
13 240040,0,Mixed Use/Res w Non Res,2013-09-23T00:00:00Z,2017-07-04T00:00:00Z,2026-02-06T00:00:00Z,Closed,M5V,1040,FALSE,13 240040_0,M5V,1040
13 242422,0,Mixed Use/Res w Non Res,2013-09-26T00:00:00Z,2016-03-24T00:00:00Z,NA,Inspection,M5V,252.28,FALSE,13 242422_0,M5V,252.28
13 243000,0,Mixed Use/Res w Non Res,2013-09-27T00:00:00Z,2016-10-07T00:00:00Z,2020-02-08T00:00:00Z,Closed,M5B,195.13,FALSE,13 243000_0,M5B,195.13
13 245084,0,Mixed Use/Res w Non Res,2013-10-02T00:00:00Z,2017-03-28T00:00:00Z,2021-03-22T00:00:00Z,Closed,NA,495,FALSE,13 245084_0,NA,495
13 248991,0,Apartment Building,2013-10-10T00:00:00Z,2015-12-11T00:00:00Z,2020-07-20T00:00:00Z,Closed,M4S,172,FALSE,13 248991_0,M4S,172
13 249371,0,Apartment Building,2013-10-10T00:00:00Z,2015-12-11T00:00:00Z,2020-07-20T00:00:00Z,Closed,M4S,435,FALSE,13 249371_0,M4S,435
13 254745,1,Multiple Use/Non Residential,2016-09-23T00:00:00Z,2017-01-16T00:00:00Z,NA,Revision Issued,NA,639.8299999999999,FALSE,13 254745_1,NA,639.8299999999999
13 254745,0,Multiple Use/Non Residential,2013-10-22T00:00:00Z,2016-09-02T00:00:00Z,NA,Inspection,NA,883,FALSE,13 254745_0,NA,883
13 256237,0,Apartment Building,2013-10-25T00:00:00Z,2017-08-01T00:00:00Z,2020-08-11T00:00:00Z,Closed,NA,570,FALSE,13 256237_0,NA,570
13 256623,0,Apartment Building,2013-10-25T00:00:00Z,2022-05-27T00:00:00Z,NA,Inspection,NA,829.09,FALSE,13 256623_0,NA,829.09
13 256626,0,University,2013-10-25T00:00:00Z,2015-03-24T00:00:00Z,2020-10-08T00:00:00Z,Closed,M5S,528,FALSE,13 256626_0,M5S,528
13 257546,0,University,2013-10-28T00:00:00Z,2015-04-08T00:00:00Z,2018-06-14T00:00:00Z,Closed,M3J,1952,FALSE,13 257546_0,M3J,1952
13 260980,0,Apartment Building,2013-11-05T00:00:00Z,2015-08-14T00:00:00Z,NA,Inspection,M6J,1670,FALSE,13 260980_0,M6J,1670
13 260999,0,Apartment Building,2013-11-05T00:00:00Z,2015-10-07T00:00:00Z,NA,Inspection,M6J,747,FALSE,13 260999_0,M6J,747
13 262554,0,Parking Garage,2013-11-07T00:00:00Z,2016-12-09T00:00:00Z,NA,Inspection,NA,232.38000000000002,FALSE,13 262554_0,NA,232.38000000000002
13 262599,0,Apartment Building,2013-11-07T00:00:00Z,2016-10-27T00:00:00Z,NA,Inspection,NA,232.28,FALSE,13 262599_0,NA,232.28
13 264401,0,University,2013-11-13T00:00:00Z,2014-09-02T00:00:00Z,2016-05-11T00:00:00Z,Closed,M1C,640,FALSE,13 264401_0,M1C,640
13 267339,0,Mixed Use/Res w Non Res,2013-11-19T00:00:00Z,2017-06-22T00:00:00Z,NA,Inspection,NA,378,FALSE,13 267339_0,NA,378
13 268791,0,Mixed Use/Res w Non Res,2013-11-22T00:00:00Z,2019-01-04T00:00:00Z,NA,Inspection,M6K,3837.8,FALSE,13 268791_0,M6K,3837.8
13 268799,0,Mixed Use/Res w Non Res,2013-11-22T00:00:00Z,2017-12-19T00:00:00Z,NA,Inspection,M6H,475,FALSE,13 268799_0,M6H,475
13 269660,0,Mixed Use/Res w Non Res,2013-11-25T00:00:00Z,2016-09-23T00:00:00Z,NA,Inspection,NA,3572,FALSE,13 269660_0,NA,3572
13 272728,0,Secondary School,2013-12-02T00:00:00Z,2016-04-01T00:00:00Z,2017-11-14T00:00:00Z,Closed,M4S,473.1,FALSE,13 272728_0,M4S,473.1
13 273353,0,Mixed Use/Res w Non Res,2013-12-03T00:00:00Z,2015-10-13T00:00:00Z,NA,Inspection,M5R,238,FALSE,13 273353_0,M5R,238
13 273353,1,Mixed Use/Res w Non Res,2016-04-13T00:00:00Z,2016-10-11T00:00:00Z,NA,Revision Issued,M5R,200,FALSE,13 273353_1,M5R,200
13 273728,0,Mixed Use/Res w Non Res,2013-12-04T00:00:00Z,2016-03-03T00:00:00Z,2017-03-17T00:00:00Z,Closed,M6K,180,FALSE,13 273728_0,M6K,180
13 275740,0,Car Dealership,2013-12-09T00:00:00Z,2015-01-30T00:00:00Z,2017-01-13T00:00:00Z,Closed,NA,718.3,FALSE,13 275740_0,NA,718.3
13 275759,0,Other,2013-12-11T00:00:00Z,2017-06-05T00:00:00Z,NA,Inspection,NA,385,FALSE,13 275759_0,NA,385
13 278994,0,Multiple Unit Building,2013-12-17T00:00:00Z,2015-01-15T00:00:00Z,NA,Inspection,M5R,180,FALSE,13 278994_0,M5R,180
13 279062,0,Retail Store,2013-12-17T00:00:00Z,2016-08-18T00:00:00Z,2017-08-25T00:00:00Z,Closed,M6A,7652.99,FALSE,13 279062_0,M6A,7652.99
13 279564,0,Crematorium/Cemetary Structure,2013-12-18T00:00:00Z,2015-03-13T00:00:00Z,2017-07-07T00:00:00Z,Closed,M2R,336,FALSE,13 279564_0,M2R,336
13 279581,0,Recreational,2013-12-18T00:00:00Z,2017-12-14T00:00:00Z,NA,Inspection,M6K,25.7,FALSE,13 279581_0,M6K,25.7
13 279800,0,SFD - Detached,2013-12-19T00:00:00Z,2014-01-09T00:00:00Z,2017-01-11T00:00:00Z,Closed,M2M,486.86,FALSE,13 279800_0,M2M,486.86
13 279862,0,Multiple Use/Non Residential,2013-12-19T00:00:00Z,2017-04-21T00:00:00Z,NA,Inspection,M5R,70,FALSE,13 279862_0,M5R,70
13 280135,0,Office,2013-12-19T00:00:00Z,2014-09-17T00:00:00Z,2025-01-23T00:00:00Z,Closed,NA,1098.02,FALSE,13 280135_0,NA,1098.02
13 280230,0,Long Term Care Facility,2013-12-19T00:00:00Z,2014-12-17T00:00:00Z,NA,Inspection,M9W,2119,FALSE,13 280230_0,M9W,2119
13 280536,0,Mixed Use/Res w Non Res,2013-12-20T00:00:00Z,2018-05-04T00:00:00Z,NA,Inspection,M5R,130.37,FALSE,13 280536_0,M5R,130.37
13 280664,0,Retail Store,2013-12-20T00:00:00Z,2015-02-25T00:00:00Z,NA,Permit Issued,M3N,808,FALSE,13 280664_0,M3N,808
13 280734,0,Multiple Use/Non Residential,2013-12-20T00:00:00Z,2015-12-01T00:00:00Z,NA,Inspection,M4Y,219,FALSE,13 280734_0,M4Y,219
13 281473,0,Mixed Use/Res w Non Res,2013-12-27T00:00:00Z,NA,NA,Pending Cancellation,M8Y,325,FALSE,13 281473_0,M8Y,325
13 281900,0,Apartment Building,2013-12-30T00:00:00Z,2020-04-17T00:00:00Z,NA,Inspection,M4V,396,FALSE,13 281900_0,M4V,396
14 106954,0,Multiple Use/Non Residential,2014-01-20T00:00:00Z,2016-08-09T00:00:00Z,2021-06-16T00:00:00Z,Closed,NA,1161,FALSE,14 106954_0,NA,1161
14 112598,0,Mixed Use/Res w Non Res,2014-02-03T00:00:00Z,2016-10-26T00:00:00Z,NA,Inspection,NA,1869.9,FALSE,14 112598_0,NA,1869.9
14 124642,0,Secondary School,2014-03-05T00:00:00Z,2017-03-29T00:00:00Z,NA,Inspection,M1P,1063,FALSE,14 124642_0,M1P,1063
14 125945,0,Mixed Use/Res w Non Res,2014-03-07T00:00:00Z,2016-11-23T00:00:00Z,2020-11-16T00:00:00Z,Closed,M6P,202,FALSE,14 125945_0,M6P,202
14 126064,2,Multiple Use/Non Residential,2016-09-30T00:00:00Z,2017-09-08T00:00:00Z,NA,Revision Issued,M5S,628,FALSE,14 126064_2,M5S,628
14 126064,0,Multiple Use/Non Residential,2014-03-07T00:00:00Z,2015-12-14T00:00:00Z,NA,Inspection,M5S,624,FALSE,14 126064_0,M5S,624
14 126703,0,Apartment Building,2014-03-10T00:00:00Z,2018-06-14T00:00:00Z,NA,Inspection,M5V,252,FALSE,14 126703_0,M5V,252
14 128197,0,Mixed Use/Res w Non Res,2014-03-13T00:00:00Z,2015-05-28T00:00:00Z,NA,Inspection,M5T,366,FALSE,14 128197_0,M5T,366
14 128260,0,Mixed Use/Res w Non Res,2014-03-13T00:00:00Z,2016-12-07T00:00:00Z,2020-02-10T00:00:00Z,Closed,M1N,320.9,FALSE,14 128260_0,M1N,320.9
14 128856,0,Apartment Building,2014-03-14T00:00:00Z,2016-10-19T00:00:00Z,NA,Permit Issued,NA,640,FALSE,14 128856_0,NA,640
14 136120,0,SFD - Detached,2014-04-01T00:00:00Z,2014-05-28T00:00:00Z,2016-09-16T00:00:00Z,Closed,M6R,0,FALSE,14 136120_0,M6R,0
14 142189,0,Apartment Building,2014-04-14T00:00:00Z,2016-01-06T00:00:00Z,NA,Inspection,M6R,433.5,FALSE,14 142189_0,M6R,433.5
14 144636,0,Industrial,2014-04-17T00:00:00Z,2014-10-02T00:00:00Z,2016-04-26T00:00:00Z,Closed,M3H,2203,FALSE,14 144636_0,M3H,2203
14 146712,0,Apartment Building,2014-04-24T00:00:00Z,2016-09-14T00:00:00Z,NA,Inspection,M2J,50,FALSE,14 146712_0,M2J,50
14 148303,0,Mixed Use/Res w Non Res,2014-04-28T00:00:00Z,2017-06-23T00:00:00Z,2020-01-15T00:00:00Z,Closed,NA,74.6,FALSE,14 148303_0,NA,74.6
14 150989,7,Industrial,2017-07-21T00:00:00Z,2017-09-22T00:00:00Z,2017-09-29T00:00:00Z,Closed,M6K,1675,TRUE,14 150989_7,M6K,1675
14 156648,0,Secondary School,2014-05-14T00:00:00Z,2015-10-06T00:00:00Z,NA,Inspection,M4V,640.7700000000001,FALSE,14 156648_0,M4V,640.7700000000001
14 157349,0,Apartment Building,2014-05-15T00:00:00Z,2018-07-19T00:00:00Z,2019-08-09T00:00:00Z,Closed,M6C,107,FALSE,14 157349_0,M6C,107
14 159180,0,Mixed Use/Res w Non Res,2014-05-21T00:00:00Z,2016-05-17T00:00:00Z,NA,Inspection,M4M,328,FALSE,14 159180_0,M4M,328
14 163201,0,Mixed Use/Res w Non Res,2014-05-28T00:00:00Z,2017-04-06T00:00:00Z,NA,Inspection,NA,989.52,FALSE,14 163201_0,NA,989.52
14 165292,0,Other,2014-05-30T00:00:00Z,2014-09-19T00:00:00Z,2015-10-27T00:00:00Z,Closed,M1X,238.95000000000002,FALSE,14 165292_0,M1X,238.95000000000002
14 169786,0,Mixed Use/Res w Non Res,2014-06-06T00:00:00Z,2015-01-28T00:00:00Z,2017-08-16T00:00:00Z,Closed,M5B,302,FALSE,14 169786_0,M5B,302
14 172874,0,Apartment Building,2014-06-12T00:00:00Z,2017-03-31T00:00:00Z,2017-09-26T00:00:00Z,Closed,M5T,497,FALSE,14 172874_0,M5T,497
14 174102,0,Apartment Building,2014-06-15T00:00:00Z,2015-12-22T00:00:00Z,NA,Inspection,M4P,580,FALSE,14 174102_0,M4P,580
14 174105,0,Apartment Building,2014-06-15T00:00:00Z,2017-01-10T00:00:00Z,2019-08-12T00:00:00Z,Closed,M4P,70,FALSE,14 174105_0,M4P,70
14 177417,0,SFD - Detached,2014-06-20T00:00:00Z,2014-07-18T00:00:00Z,2023-05-24T00:00:00Z,Closed,M5A,30.7,TRUE,14 177417_0,M5A,30.7
14 177778,0,SFD - Detached,2014-06-20T00:00:00Z,2014-10-01T00:00:00Z,2015-07-15T00:00:00Z,Closed,M2N,74.9,FALSE,14 177778_0,M2N,74.9
14 179367,0,Apartment Building,2014-06-24T00:00:00Z,2015-08-10T00:00:00Z,2018-07-31T00:00:00Z,Closed,M4V,320.68,FALSE,14 179367_0,M4V,320.68
14 183525,0,Community Hall,2014-07-02T00:00:00Z,2014-07-30T00:00:00Z,2015-08-26T00:00:00Z,Closed,M1W,414,FALSE,14 183525_0,M1W,414
14 186513,0,Mixed Use/Res w Non Res,2014-07-08T00:00:00Z,2017-01-26T00:00:00Z,NA,Inspection,M4Y,30,FALSE,14 186513_0,M4Y,30
14 187352,0,Mixed Use/Res w Non Res,2014-07-09T00:00:00Z,2014-12-15T00:00:00Z,2022-11-30T00:00:00Z,Closed,M1G,1916,FALSE,14 187352_0,M1G,1916
14 198747,0,Mixed Use/Res w Non Res,2014-07-29T00:00:00Z,2017-06-30T00:00:00Z,2022-06-14T00:00:00Z,Closed,M5T,873,FALSE,14 198747_0,M5T,873
14 203424,0,Mixed Use/Res w Non Res,2014-08-08T00:00:00Z,2016-04-14T00:00:00Z,2023-11-28T00:00:00Z,Closed,M6C,247,FALSE,14 203424_0,M6C,247
14 203621,0,Elementary School,2014-08-08T00:00:00Z,2016-07-18T00:00:00Z,2021-03-17T00:00:00Z,Closed,M8V,0,FALSE,14 203621_0,M8V,0
14 206694,0,Mixed Use/Res w Non Res,2014-08-14T00:00:00Z,2016-06-01T00:00:00Z,2024-09-24T00:00:00Z,Closed,M4M,115.2,FALSE,14 206694_0,M4M,115.2
14 207315,0,Other,2014-08-15T00:00:00Z,2017-02-13T00:00:00Z,NA,Inspection,NA,496.58,FALSE,14 207315_0,NA,496.58
14 208554,0,Office,2014-08-19T00:00:00Z,2015-04-17T00:00:00Z,NA,Inspection,M9W,275.2,FALSE,14 208554_0,M9W,275.2
14 209528,0,Place of Worship,2014-08-20T00:00:00Z,2016-05-20T00:00:00Z,NA,Inspection,M1K,278.86,FALSE,14 209528_0,M1K,278.86
14 209736,0,Retail Store,2014-08-21T00:00:00Z,2015-01-27T00:00:00Z,NA,Inspection,M1H,1008,FALSE,14 209736_0,M1H,1008
14 210021,0,Other,2014-08-21T00:00:00Z,2015-02-13T00:00:00Z,NA,Inspection,NA,404,FALSE,14 210021_0,NA,404
14 216875,0,Mixed Use/Res w Non Res,2014-09-04T00:00:00Z,2017-03-17T00:00:00Z,NA,Inspection,M6L,230,FALSE,14 216875_0,M6L,230
14 219091,0,Parking Garage,2014-09-09T00:00:00Z,2017-05-12T00:00:00Z,NA,Inspection,M4Y,51.2,FALSE,14 219091_0,M4Y,51.2
14 223706,0,Other,2014-09-17T00:00:00Z,2015-02-19T00:00:00Z,NA,Inspection,M1B,489.12,FALSE,14 223706_0,M1B,489.12
14 223706,1,Other,2015-08-26T00:00:00Z,2015-10-27T00:00:00Z,NA,Revision Issued,M1B,610.19,FALSE,14 223706_1,M1B,610.19
14 224819,0,SFD - Townhouse,2014-09-19T00:00:00Z,2014-09-25T00:00:00Z,2016-03-23T00:00:00Z,Closed,M5A,36.3,TRUE,14 224819_0,M5A,36.3
14 231152,0,Recreational,2014-10-02T00:00:00Z,2016-03-23T00:00:00Z,NA,Inspection,M8V,250,FALSE,14 231152_0,M8V,250
14 231200,0,College/Trade/Tech School/Training Cent.,2014-10-02T00:00:00Z,2015-10-07T00:00:00Z,NA,Inspection,NA,530,FALSE,14 231200_0,NA,530
14 231616,0,Multiple Use/Non Residential,2014-10-02T00:00:00Z,2015-07-22T00:00:00Z,2016-01-27T00:00:00Z,Closed,M4G,387.03,FALSE,14 231616_0,M4G,387.03
14 231634,0,Industrial,2014-10-02T00:00:00Z,2016-11-16T00:00:00Z,2017-03-03T00:00:00Z,Closed,M4G,180,FALSE,14 231634_0,M4G,180
14 237565,0,Apartment Building,2014-10-15T00:00:00Z,2018-02-27T00:00:00Z,2026-03-20T00:00:00Z,Closed,M4P,528.5,FALSE,14 237565_0,M4P,528.5
14 241284,0,Apartment Building,2014-10-22T00:00:00Z,2017-06-07T00:00:00Z,NA,Inspection,M4P,348,FALSE,14 241284_0,M4P,348
14 245143,1,SFD - Detached,2014-12-17T00:00:00Z,2015-01-08T00:00:00Z,2016-03-23T00:00:00Z,Closed,M4G,536,FALSE,14 245143_1,M4G,536
14 245186,1,SFD - Detached,2014-12-17T00:00:00Z,2015-01-08T00:00:00Z,2016-03-23T00:00:00Z,Closed,M4G,238,FALSE,14 245186_1,M4G,238
14 245630,0,Apartment Building,2014-10-30T00:00:00Z,2017-01-19T00:00:00Z,2019-02-20T00:00:00Z,Closed,M1J,600,FALSE,14 245630_0,M1J,600
14 246853,0,Mixed Use/Res w Non Res,2014-11-03T00:00:00Z,2018-06-19T00:00:00Z,NA,Inspection,M4W,257,FALSE,14 246853_0,M4W,257
14 246981,0,Mixed Use/Res w Non Res,2014-11-03T00:00:00Z,2017-10-24T00:00:00Z,2017-12-06T00:00:00Z,Closed,M6J,336,FALSE,14 246981_0,M6J,336
14 247824,0,Mixed Use/Res w Non Res,2014-11-04T00:00:00Z,2016-03-18T00:00:00Z,2021-02-18T00:00:00Z,Closed,M8V,656,FALSE,14 247824_0,M8V,656
14 247852,0,Mixed Use/Res w Non Res,2014-11-04T00:00:00Z,2018-07-10T00:00:00Z,NA,Inspection,M2J,1232.3,FALSE,14 247852_0,M2J,1232.3
14 248687,0,Mixed Use/Res w Non Res,2014-11-06T00:00:00Z,2019-11-22T00:00:00Z,NA,Inspection,M8V,1216,FALSE,14 248687_0,M8V,1216
14 249369,0,Mixed Use/Res w Non Res,2014-11-07T00:00:00Z,2018-10-16T00:00:00Z,2022-05-04T00:00:00Z,Closed,M5B,247,FALSE,14 249369_0,M5B,247
14 250299,0,Apartment Building,2014-11-12T00:00:00Z,2018-04-10T00:00:00Z,NA,Permit Issued,NA,489,FALSE,14 250299_0,NA,489
14 250520,0,SFD - Detached,2014-11-12T00:00:00Z,2015-01-09T00:00:00Z,2020-02-27T00:00:00Z,Closed,M4W,12.5,FALSE,14 250520_0,M4W,12.5
14 253380,0,Apartment Building,2014-11-18T00:00:00Z,2016-12-21T00:00:00Z,NA,Inspection,M2N,1074,FALSE,14 253380_0,M2N,1074
14 253621,0,Multiple Use/Non Residential,2014-11-18T00:00:00Z,2017-04-27T00:00:00Z,NA,Inspection,M5S,116.8,FALSE,14 253621_0,M5S,116.8
