PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
10 282856,0,SFD - Detached,2010-10-22T00:00:00Z,2010-11-05T00:00:00Z,2011-10-31T00:00:00Z,Closed,M4T,60.9,FALSE,10 282856_0,M4T,60.9
10 286777,0,Apartment Building,2010-10-28T00:00:00Z,2012-07-25T00:00:00Z,NA,Inspection,M9B,581.5,FALSE,10 286777_0,M9B,581.5
10 292819,0,"Transit Station,Subway, Bus Terminal",2010-11-08T00:00:00Z,2017-06-16T00:00:00Z,2019-04-17T00:00:00Z,Closed,NA,360,FALSE,10 292819_0,NA,360
10 299666,0,Mixed Use/Res w Non Res,2010-11-19T00:00:00Z,2011-10-17T00:00:00Z,NA,Inspection,M5A,263.4,FALSE,10 299666_0,M5A,263.4
10 300519,0,SFD - Detached,2010-11-22T00:00:00Z,2010-12-23T00:00:00Z,2013-02-06T00:00:00Z,Closed,M4N,71.72,FALSE,10 300519_0,M4N,71.72
10 315385,0,Mixed Use/Res w Non Res,2010-12-16T00:00:00Z,2013-05-02T00:00:00Z,2016-02-09T00:00:00Z,Closed,M5V,1541,FALSE,10 315385_0,M5V,1541
10 315822,0,Mixed Use/Res w Non Res,2010-12-16T00:00:00Z,2012-01-18T00:00:00Z,NA,Inspection,M5V,138.29,FALSE,10 315822_0,M5V,138.29
10 316687,0,Mixed Use/Res w Non Res,2010-12-17T00:00:00Z,2013-12-20T00:00:00Z,2018-06-29T00:00:00Z,Closed,NA,716.7,FALSE,10 316687_0,NA,716.7
11 108543,0,Apartment Building,2011-01-18T00:00:00Z,2012-10-10T00:00:00Z,NA,Inspection,NA,390,FALSE,11 108543_0,NA,390
11 129874,0,SFD - Detached,2011-02-18T00:00:00Z,2011-03-22T00:00:00Z,2026-03-13T00:00:00Z,Closed,M6G,41,FALSE,11 129874_0,M6G,41
11 132392,0,Restaurant Greater Than 30 Seats,2011-02-24T00:00:00Z,2014-03-25T00:00:00Z,2020-03-09T00:00:00Z,Closed,NA,523.6,FALSE,11 132392_0,NA,523.6
11 142921,0,Mixed Use/Res w Non Res,2011-03-11T00:00:00Z,2012-07-17T00:00:00Z,NA,Inspection,NA,2063,FALSE,11 142921_0,NA,2063
11 147390,0,Other,2011-03-17T00:00:00Z,2013-05-29T00:00:00Z,NA,Inspection,M5V,729.6,FALSE,11 147390_0,M5V,729.6
11 154403,0,Elementary School,2011-03-25T00:00:00Z,2012-06-06T00:00:00Z,2014-12-03T00:00:00Z,Closed,M4H,1032,FALSE,11 154403_0,M4H,1032
11 180260,0,Apartment Building,2011-04-21T00:00:00Z,2015-06-22T00:00:00Z,NA,Inspection,M5T,140,FALSE,11 180260_0,M5T,140
11 187152,0,Mixed Use/Res w Non Res,2011-05-04T00:00:00Z,2013-05-31T00:00:00Z,2013-09-19T00:00:00Z,Closed,M5T,986,FALSE,11 187152_0,M5T,986
11 190549,0,Apartment Building,2011-05-09T00:00:00Z,2013-02-21T00:00:00Z,NA,Inspection,M9B,695,FALSE,11 190549_0,M9B,695
11 193106,0,Other,2011-05-12T00:00:00Z,2013-08-30T00:00:00Z,NA,Inspection,M5T,1442,FALSE,11 193106_0,M5T,1442
11 201329,0,Restaurant Greater Than 30 Seats,2011-05-24T00:00:00Z,2015-03-05T00:00:00Z,NA,Inspection,NA,431.5,FALSE,11 201329_0,NA,431.5
11 216050,0,Mixed Use/Res w Non Res,2011-06-10T00:00:00Z,2013-12-19T00:00:00Z,2016-11-23T00:00:00Z,Closed,NA,277.33,FALSE,11 216050_0,NA,277.33
11 218683,0,Industrial,2011-06-14T00:00:00Z,2011-10-31T00:00:00Z,2013-04-02T00:00:00Z,Closed,NA,324,FALSE,11 218683_0,NA,324
