X_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ECO_ROOF
11,10 222037,0,New Building,Mixed Use/Res w Non Res,40,DOVERCOURT,RD, ,   ,2010-07-16,2012-09-11,,Inspection,"Proposal to erect a 11 sty mixed use building containg 152 units (9- live/work units on gorund floor and 143 residential units above), retail at grade and 3 levels of below grade parking.",336.0,NA,False
12,10 227495,0,New Building,Multiple Use/Non Residential,11,ST ANNES,RD, ,M6J,2010-07-23,2011-04-13,2012-09-26,Closed,"Construct  new police service facility w/ 2 storey below grade parking and detention centre and 2 storey above grade office area. - See 10 162657 ZPR for PPR and 10 190749 STE 18 SA for SPA.
Separate sprinkler permit required - charged on this permit",1220,0,False
13,10 240746,0,New Building,Mixed Use/Res w Non Res,295,ADELAIDE,ST,W,M5V,2010-08-17,2013-06-21,,Inspection,"Construct 46-storey mixed-use building containing 588 dwelling units, commercial at grade and 6 levels below grade.",620,NA,False
14,10 243442,0,Building Additions/Alterations,Community Hall,1326,GERRARD,ST,E,M4L,2010-08-20,2010-10-04,2012-12-13,Closed,"Proposal to install green roof on top of existing community hall ""Riverdale Immigrant Women Enterprises"" (131.60m2).",131.6,NA,True
15,10 255756,0,New Building,Mixed Use/Res w Non Res,120,BREMNER,BLVD, ,   ,2010-09-10,2014-01-23,2019-01-23,Closed,"New mixed use building (with Hotel and Retail uses). 46 Storey Hotel. 567 rooms - 3 levels of underground parking - 366 parking spaces total (hotel 153 spaces, office 213 spaces). 
PLEASE NOTE THAT UNDERGROUND PARKING GARAGE WILL SERVICE HOTEL BUILDING AS WELL AS NEW OFFICE BUILDING TO BE APPLIED FOR AT A LATER DATE ON THE SAME SITE",1051.9,988.7,False
16,10 272513,0,New Building,Apartment Building,275,YORKLAND,RD, ,   ,2010-10-06,2013-10-02,,Inspection,"New 27 storey residential tower with 318 units and 5 levels of under ground parking. 
Increased to 33 storeys and 402 units and 5 levels of underground parking.",744.9,10.5,False
17,10 275713,1,Small Residential Projects,SFD - Detached,1,MOSSOM,PL, ,M6S,2011-08-09,2011-08-15,2011-09-12,Closed,"Revision 01: revision to roof end detail.
(Installation of a green roof on the addition constructed under permit 06-164920 BLD)",152,NA,False
18,10 275713,0,Small Residential Projects,SFD - Detached,1,MOSSOM,PL, ,M6S,2010-10-12,2010-11-12,2011-09-12,Closed,Installation of a green roof on the addition constructed under permit 06-164920 BLD,152,NA,False
19,10 282856,0,Small Residential Projects,SFD - Detached,55,HARPER,AVE, ,M4T,2010-10-22,2010-11-05,2011-10-31,Closed,Proposal to construct a green roof atop an existing detached garage.  See related permit 10 175351 BLD.,60.9,NA,False
20,10 286777,0,New Building,Apartment Building,1,VALHALLA INN,RD, ,M9B,2010-10-28,2012-07-25,,Inspection,"Proposal to construct Phase 1 of 3-phase project: 22 storey apartment building  (Tower 'A') with 216 residential units with (1) level of underground and (3) levels above grade parking. 
TOWNHOUSES NOT PART OF THIS PERMIT",581.5,0,False
21,10 292819,0,New Building,"Transit Station,Subway, Bus Terminal",120,IAN MACDONALD,BLVD, ,   ,2010-11-08,2017-06-16,2019-04-17,Closed,"TTC Transit Facility , York University Subway Station in support of the Toronto York Spadina Subway Extension ( TYSSE) York University Station.",360,190.5,False
22,10 299666,0,New Building,Mixed Use/Res w Non Res,2,EASTERN,AVE, ,M5A,2010-11-19,2011-10-17,,Inspection,"Proposal to construct a new eight storey mixed use building.  Building comprised of 82 residential units, ground floor retail use and three below grade parking facilities.  See also 10 165672 STE and 10 247123 MV.",263.40,0,False
23,10 300519,0,Small Residential Projects,SFD - Detached,10,PLYMBRIDGE,RD, ,M4N,2010-11-22,2010-12-23,2013-02-06,Closed,"Addition to existing sfd, decks, green roof, detached garage and pool house on consolidated lot",71.72,NA,False
24,10 315385,0,New Building,Mixed Use/Res w Non Res,560,KING,ST,W,M5V,2010-12-16,2013-05-02,2016-02-09,Closed,"Proposal to construct a 12 sty condo with 334 residential units, commercial on ground floor, and 4 levels of below grade parking.  ""Fashion House"". Two Towers; One facing King St West and other one facing Adelaide St West.",1541,NA,False
25,10 315822,0,New Building,Mixed Use/Res w Non Res,32,CAMDEN,ST, ,M5V,2010-12-16,2012-01-18,,Inspection,"Proposal to construct a 12 sty condo with 87 residential units,  and 1 community facility space at grade.",138.29,0,False
26,10 316687,0,New Building,Mixed Use/Res w Non Res,20,JOE SHUSTER,WAY, ,   ,2010-12-17,2013-12-20,2018-06-29,Closed,"Proposal to construct a 14 sty condo with retail on ground floor, 4 levels of below grade parking, and 244 residential units.  ""Fuzion Condo"".",716.70,0,False
27,11 108543,0,New Building,Apartment Building,85,THE DONWAY, ,W,   ,2011-01-18,2012-10-10,,Inspection,12 storey condominium with ground floor retail,390,0,False
28,11 129874,0,Small Residential Projects,SFD - Detached,421,CLINTON,ST, ,M6G,2011-02-18,2011-03-22,2026-03-13,Closed,"Proposal for multiple projects to an existing 3 storey SFD-detached dwelling.  Scope of work includes the construction of a 2 storey rear addition, a third floor addition with a dormer enlargement, interior alterations to all floors, new rear deck, and a detached garage with a green roof at the rear of the site.  See also 10 229213 ZZC, 10 277744 MV and Final and BindingA0855/10TEY.",41.0,NA,False
29,11 132392,0,New Building,Restaurant Greater Than 30 Seats,3895,MCNICOLL,AVE, ,   ,2011-02-24,2014-03-25,2020-03-09,Closed,"New One Storey Banquet Hall Building with Mezzanine including HVAC, Plumbing and Site Services",523.6,0,False
30,11 142921,0,New Building,Mixed Use/Res w Non Res,635,KING,ST,E,   ,2011-03-11,2012-07-17,,Inspection,"Proposal to construct 2 condo buildings (1-7 sty & 1- 16 sty) with link, commercial on ground floor, 349 residential units, and no below grade parking.  West Don lands PHASE 1 (Block 4 West & Block 3).",2063,NA,False
31,11 147390,0,New Building,Other,100,GARRISON,RD, ,M5V,2011-03-17,2013-05-29,,Inspection,This is for the Fort York lands known as 100 Garrison Road and 800 Fleet Street to permit the construction of a two storey Visitor Centre complete with roof terrace and related commercial uses to include a gift shop and a restaurant with more than 30 seats. There is also a parking area for approx. 60 vehicles and bus parking located south of the building. ,729.6,0,False
32,11 154403,0,Building Additions/Alterations,Elementary School,80,THORNCLIFFE PARK,DR, ,M4H,2011-03-25,2012-06-06,2014-12-03,Closed,Thorncliffe Park Relief School - Two storey addition,1032,742,False
33,11 180260,0,New Building,Apartment Building,15,BEVERLEY,ST, ,M5T,2011-04-21,2015-06-22,,Inspection,Permit to construct new 11 storey residential condo building - 96 residential suites - 3 levels below grade parking - 64 parking spaces including visitor spaces - 10 bicycle parking spaces. - see 10 189510 STE 20 SA for siteplan - 11 169993 MV of C of A.,140,0,False
34,11 187152,0,New Building,Mixed Use/Res w Non Res,591,DUNDAS,ST,E,M5T,2011-05-04,2013-05-31,2013-09-19,Closed,"Convenience address is 230 Sackville St
Permit to construct new 10 storey mixed use building with commercial at grade, office on second floor.  Remainng floors are residential.  155 residential units - 2 levels below grade parking - 105 parking spaces. 190 Bicycle parking spaces.",986,NA,False
35,11 190549,0,New Building,Apartment Building,1,VALHALLA INN,RD, ,M9B,2011-05-09,2013-02-21,,Inspection,"(Phase 2 of 3, Tower B) Proposed new 35 storey apartment building with 329 units plus 7 units on podium TOTAL UNITS 336, two levels of below grade parking and three levels of above grade parking.
SEPARATE TOWNHOUSE BLOCKS NOT PART OF THIS PERMIT",695,NA,False
36,11 193106,0,New Building,Other,591,DUNDAS,ST,E,M5T,2011-05-12,2013-08-30,,Inspection,CONVENIENCE ADDRESS IS 402 SHUTER - Permit to construct new City of Toronto Community Centre - 2 Stories - Regent Park Community Centre.,1442,NA,False
37,11 201329,0,New Building,Restaurant Greater Than 30 Seats,30,IRONSIDE,CRES, ,   ,2011-05-24,2015-03-05,,Inspection,Construct banquet hall - shell only BLDG A,431.5,0,False
38,11 216050,0,New Building,Mixed Use/Res w Non Res,224,KING,ST,W,   ,2011-06-10,2013-12-19,2016-11-23,Closed,"Permit to construct a new 47 storey mixed-use building comprised of  234 residential dwelling units,  644m2 of commercial space and 100 parking spaces including 4 car share spaces.",277.33,0,False
39,11 218683,0,New Building,Industrial,3115,MARKHAM,RD, ,   ,2011-06-14,2011-10-31,2013-04-02,Closed,construct a two (2) storey shell building cladded with precast,324,0,False
40,11 221432,0,New Building,Mixed Use/Res w Non Res,199,RICHMOND,ST,W,M5V,2011-06-24,,,Examiner's Notice Sent,PHASE 1 - Permit to construct new 31 storey building with ground floor community space - 337 residentail units - 485 parking spaces (PHASE 1 and Partial PHASE  2 and visitor parking spaces) - 5 levels below grade parking. - 396 Bicycle parking spaces.,473,0,False
41,11 223813,0,Building Additions/Alterations,Recreational,1073,MILLWOOD,RD, ,M4G,2011-06-21,2012-04-26,2025-11-13,Closed," Construct a one-storey, 4,112 square metre addition to Leaside Memorial CommunityGardens Arena to accommodate an additional ice pad.",404,0,False
42,11 223964,0,New Building,Apartment Building,399,SPRING GARDEN,AVE, ,M2N,2011-06-21,2013-11-25,,Inspection,Seven storey condo with 172 units and two levels of underground parking - Phantom Dev.,723.5,0,False
43,11 226957,0,New Building,Apartment Building,2200,LAKE SHORE,BLVD,W,M8V,2011-06-24,2013-09-05,,Inspection,"Proposal to construct a new (48) storey condominium building with (490) units, (5) levels of underground parking, (1) floor of ground floor retail shell space for Block A 520m2 only- Phase 1.",52 ,NA,False
44,11 229770,0,New Building,Elementary School,20,COULES,CRT, ,M8W,2011-06-29,2012-08-22,,Inspection,Proposed new two storey elementary school building on site of existing demolished elementary school.  ROLL 4498-2CC-COL4-ROW3,0,370,False
45,11 230682,0,New Building,Industrial,1313,LAKE SHORE,BLVD,E,   ,2011-06-30,2016-02-03,,Inspection,"This is for the construction of a new two storey carhouse building for the Toronto Transit Commission(TTC). The building will be 23,675 sm. .
Separate sprinkler permit required - charged on this permit.",9035.13,0,False
46,11 232379,0,New Building,Mixed Use/Res w Non Res,591,DUNDAS,ST,E,M5T,2011-07-05,2013-02-01,2017-10-17,Closed,"PHASE 1 APPLICATION  - permit to construct new 25 storey mixed use building with 8 storey podium, retail / commercial on ground floor and 2 levels of underground parking. 364 units - 628 bicycle parking spaces.",1344,NA,False
47,11 234039,0,New Building,Mixed Use/Res w Non Res,117,PETER,ST, ,M5V,2011-07-07,2013-07-22,2017-11-29,Closed,"Proposal to construct a 36 sty condo with retail on ground floor, office on 2nd floor, and 5 levels of below grade parking.  410 residential units.  Alternative Solution 13-121369 for combustible cladding.",475,0,False
48,11 234821,0,Building Additions/Alterations,Office,333,KING,ST,E,M5A,2011-07-08,2011-10-27,2013-07-24,Closed,"Proposal to construct an additional 3 floors over existing 3 storey office building.  Only shell to be constructed, interior permits to be applied for at a later date.",371,554,False
49,11 236661,0,New Building,Apartment Building,72,ESTHER SHINER,BLVD, ,   ,2011-07-12,2013-10-25,2016-08-29,Closed,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking",591,NA,False
50,11 239542,1,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,4700,KEELE,ST, ,M3J,2014-12-22,2015-10-30,,Revision Issued,Revise proposed roof top paving to new Green Roof - Central Square Podium,1114,0,False
51,11 245016,0,New Building,Apartment Building,2490,BLOOR,ST,W,M6S,2011-07-25,2014-04-04,,Inspection,Proposed 12 storey (and mechanical penthouse level) mixed-use residential condominium building with 280 residential units and 999.78m2 of retail space. (Phase 1),191.6,NA,False
52,11 249770,0,New Building,Mixed Use/Res w Non Res,800,LAWRENCE,AVE,W,   ,2011-08-02,2014-10-28,2016-06-14,Closed,"21 storey residential building with an 8 storey residential podium containing 435 dwelling units, ground floor mixed uses and four levels of underground parking",1093,0,False
53,11 253977,0,New Houses,SFD - Detached,85,REGAL,RD, ,M6H,2011-08-09,2011-09-27,,Inspection,Proposed new two storey detached dwelling with rear yard detached garage.,66,NA,False
54,11 263561,0,New Building,Mixed Use/Res w Non Res,170,FORT YORK,BLVD, ,   ,2011-08-25,2013-04-04,,Inspection,"Proposal to construct a 29 sty condo with commercial at grade, 2 levels of below grade parking, and 364 residential units. Note: This permit does not include the above-grade portion of the library block.",692.0,296.3,False
55,11 273461,0,New Building,Apartment Building,120,HARRISON GARDEN,BLVD, ,   ,2011-09-13,2013-06-20,,Inspection,"Residences of Avonshire Inc. Superstructural residential building 21-storeys, 284 units  (Building C) with 8 storey link , 3 levels u/g parking.",2336.37,NA,False
56,11 274541,0,New Building,Apartment Building,120,HARRISON GARDEN,BLVD, ,   ,2011-09-14,2013-06-20,,Inspection,"Residences of Avonshire - Superstructe residential building 16 -storeys, 193 units  (Building D) 

For drawings, refer to Building Permit 11- 273461 ( Building C )",2353,0,False
57,11 276573,0,New Building,Mixed Use/Res w Non Res,75,IANNUZZI,ST, ,   ,2011-09-16,2013-05-31,,Inspection,"PLEASE SEE RELATED ZONING AND PLANNING FOLDERS UNDER 24 BATHURST ST. 09-188168-03 
Permit to construct new mixed use building retail at grade and residential above - 28 Storeys, 420 Residential units plus one guest suite, (408 Condo Suites with 12 Town homes).  5 levels below grade parking, 385 parking spaces( 335 Residential 50 Visitor) 250 Residential Bicycle Parking spaces - 40 Visitor Parking Spaces. - ",593.93,0,False
58,11 279729,0,New Building,Hospital,76,GRENVILLE,ST, ,M5S,2011-09-22,2013-03-05,,Inspection,Proposal to construct a 9 sty hospital with 3 levels of below grade parking.  Womens College.  PHASE 2,1060.6,NA,False
59,11 279925,0,New Building,Elementary School,0,ALTON TOWERS,CRCL, ,   ,2011-09-22,2012-07-31,2015-02-20,Closed,construct a new one storey elementary school Ecole Elementairede Laure-Riese with a Day Nursery,700,NA,True
60,11 280530,0,New Building,Apartment Building,100,PARKWAY FOREST,DR, ,M2J,2011-09-23,2013-11-29,,Inspection,"Parkway Forest Reurbanization ( Emerald City Condos) new 29 storey residential condominium 404 units,building A5/A6 over 4 levels of below grade parking.",952,0,False
